city,lat,lng,max_temp,humidity,windspeed,cloudiness,country,date
brae,60.4,-1.35,57.2,87,9.17,89,GB,1592408173
sobolevo,54.43,31.9,75.47,75,6.51,0,RU,1592407922
itapora,-22.08,-54.79,82.11,49,16.46,1,BR,1592408174
staryy nadym,65.61,72.68,47.71,53,8.88,96,RU,1592408174
kaitangata,-46.28,169.85,43.0,79,7.0,94,NZ,1592408174
lasa,46.62,10.7,69.8,73,2.24,40,IT,1592408174
laohekou,32.39,111.67,68.09,95,0.09,100,CN,1592408174
sao joao da barra,-21.64,-41.05,75.2,60,12.75,75,BR,1592408118
belmonte,-15.86,-38.88,78.8,65,10.29,40,BR,1592408174
pacific grove,36.62,-121.92,63.0,63,7.23,1,US,1592407898
pangnirtung,66.15,-65.71,37.4,74,11.41,90,CA,1592408175
beloha,-25.17,45.05,63.59,75,12.66,0,MG,1592408175
marsh harbour,26.54,-77.06,79.66,76,10.63,6,BS,1592407920
tasiilaq,65.61,-37.64,39.2,80,33.33,75,GL,1592408070
raga,8.46,25.68,78.35,81,6.53,67,SS,1592408175
ust-nera,64.57,143.2,58.86,59,4.14,37,RU,1592408175
yulara,-25.24,130.99,48.2,36,6.93,0,AU,1592408175
khandyga,62.67,135.6,57.36,55,0.51,0,RU,1592408175
guanica,17.97,-66.91,91.0,57,8.01,60,PR,1592408175
puerto madryn,-42.77,-65.04,58.24,48,13.51,99,AR,1592408056
narsaq,60.92,-46.05,46.4,61,6.93,75,GL,1592408073
karratha,-20.74,116.85,68.83,76,0.36,0,AU,1592408176
hay river,60.82,-115.8,57.2,67,8.05,75,CA,1592408176
tirumullaivasal,11.23,79.83,86.18,71,15.79,81,IN,1592408176
maple creek,49.92,-109.48,57.18,73,12.37,82,CA,1592408176
draguignan,43.53,6.47,80.6,32,18.34,0,FR,1592408176
arlit,18.74,7.39,106.48,7,18.12,0,NE,1592408176
kalawit,8.07,122.52,79.16,84,4.14,100,PH,1592408176
ambilobe,-13.2,49.05,72.45,63,3.91,30,MG,1592408177
sinop,41.77,34.87,64.15,87,4.36,84,TR,1592407956
bilkha,21.43,70.6,85.86,72,9.46,38,IN,1592408177
victoria,22.29,114.16,84.0,74,8.01,0,HK,1592407994
rio gallegos,-51.62,-69.22,26.6,92,5.82,0,AR,1592408177
paita,-5.09,-81.11,73.4,69,25.28,50,PE,1592408177
qaanaaq,77.48,-69.36,33.01,92,6.78,58,GL,1592408177
lebu,-37.62,-73.65,52.97,89,7.25,100,CL,1592408079
general pico,-35.66,-63.76,53.83,89,10.09,100,AR,1592408177
barra patuca,15.8,-84.28,79.61,85,8.7,100,HN,1592408178
neftcala,39.37,49.25,78.53,64,11.18,0,AZ,1592408178
atlanta,33.75,-84.39,66.99,72,6.78,90,US,1592407916
ornskoldsvik,63.29,18.72,62.6,67,5.82,96,SE,1592408178
vostok,46.49,135.88,45.48,100,1.66,100,RU,1592408178
geraldton,-28.77,114.6,66.2,72,20.8,90,AU,1592408178
sortland,68.69,15.42,66.0,55,4.7,24,NO,1592408178
baiyin,36.56,104.21,71.01,62,5.95,1,CN,1592408178
pontes e lacerda,-15.23,-59.34,88.93,40,8.3,0,BR,1592408179
salalah,17.02,54.09,89.6,70,8.05,2,OM,1592408179
riyadh,24.69,46.72,107.6,8,13.87,10,SA,1592408019
rio bananal,-19.27,-40.33,76.01,55,9.33,30,BR,1592408179
wilmington,34.23,-77.94,70.0,91,6.91,86,US,1592408179
clinton,42.59,-82.92,79.0,34,3.0,0,US,1592408151
misratah,32.38,15.09,81.75,39,13.47,0,LY,1592408179
san quintin,30.48,-115.95,64.2,73,5.21,100,MX,1592408180
leh,34.17,77.58,58.17,30,4.99,0,IN,1592408180
upernavik,72.79,-56.15,33.66,90,4.05,0,GL,1592408180
awjilah,29.11,21.29,89.85,21,19.71,0,LY,1592408180
ilulissat,69.22,-51.1,39.2,78,6.93,75,GL,1592408180
iqaluit,63.75,-68.51,41.0,65,8.05,75,CA,1592408180
amahai,-3.33,128.92,82.99,91,1.99,78,ID,1592408180
montepuez,-13.13,39.0,70.72,60,8.57,86,MZ,1592408044
nemuro,43.32,145.57,51.44,96,9.19,99,JP,1592408180
hamilton,39.18,-84.53,77.0,47,8.05,1,US,1592408181
champerico,14.3,-91.92,78.8,94,4.25,40,GT,1592408181
egvekinot,66.32,-179.17,54.64,49,1.7,3,RU,1592408075
sao filipe,14.9,-24.5,75.9,82,11.63,6,CV,1592408181
georgetown,5.41,100.34,84.2,88,3.36,20,MY,1592407837
bathsheba,13.22,-59.52,86.0,66,21.92,40,BB,1592408074
netanya,32.33,34.86,86.0,39,14.99,0,IL,1592408181
yoichi,43.2,140.77,57.0,93,4.92,100,JP,1592408181
tura,25.52,90.22,75.4,98,7.61,100,IN,1592408182
popondetta,-8.75,148.25,71.19,95,2.46,100,PG,1592408182
kalabo,-14.97,22.68,68.2,37,9.06,2,ZM,1592408182
longyearbyen,78.22,15.64,39.2,77,8.05,20,SJ,1592407882
port-gentil,-0.72,8.78,78.8,83,10.29,90,GA,1592407905
shingu,33.73,135.98,67.77,74,2.37,100,JP,1592408182
kokopo,-4.35,152.26,76.28,87,6.11,2,PG,1592407915
yelnya,54.58,33.18,75.22,70,6.17,0,RU,1592408182
liuzhou,24.31,109.39,78.91,85,8.97,28,CN,1592408145
khatanga,71.97,102.5,50.56,73,1.54,100,RU,1592408183
los llanos de aridane,28.66,-17.92,77.0,73,9.17,20,ES,1592408183
westport,41.14,-73.36,78.01,56,10.29,1,US,1592408008
tuatapere,-46.13,167.68,39.0,83,3.0,93,NZ,1592408073
lazaro cardenas,17.96,-102.2,88.61,53,2.57,0,MX,1592408184
ketchikan,55.34,-131.65,53.6,76,4.7,40,US,1592408185
alofi,-19.06,-169.92,71.6,68,13.87,98,NU,1592408185
zhezkazgan,47.8,67.71,69.26,33,8.95,46,KZ,1592408185
caravelas,-17.71,-39.25,76.06,62,12.15,80,BR,1592408185
cockburn town,21.46,-71.14,87.8,66,13.87,40,TC,1592408185
nanning,22.82,108.32,80.6,88,4.47,0,CN,1592408185
san carlos de bariloche,-41.15,-71.31,41.0,80,2.24,40,AR,1592408186
kushnarenkovo,55.1,55.35,71.01,77,8.95,75,RU,1592408186
saldanha,-33.01,17.94,75.2,48,5.82,0,ZA,1592407902
aras,42.56,-2.36,71.6,40,2.24,20,ES,1592408186
la chaux-de-fonds,47.1,6.83,63.0,100,4.7,75,CH,1592408186
morrope,-6.54,-80.01,68.0,72,12.75,75,PE,1592408186
torbay,47.67,-52.73,75.99,38,19.46,75,CA,1592407919
koutiala,12.39,-5.46,102.74,23,3.15,67,ML,1592408187
mount isa,-20.73,139.5,68.0,42,9.17,0,AU,1592408187
namatanai,-3.67,152.43,78.93,81,6.26,13,PG,1592408187
trairi,-3.28,-39.27,85.87,62,12.44,0,BR,1592408187
shimoda,34.67,138.95,62.01,92,4.85,100,JP,1592408187
kruisfontein,-34.0,24.73,56.5,47,4.85,0,ZA,1592408187
waipawa,-41.41,175.52,54.0,81,1.99,100,NZ,1592407890
khorixas,-20.37,14.97,76.14,22,10.4,0,NA,1592408187
ulaangom,49.98,92.07,67.44,50,7.67,100,MN,1592408188
krasnooktyabrskiy,44.93,38.37,84.99,62,7.14,0,RU,1592408188
yar-sale,66.83,70.83,45.7,56,13.2,66,RU,1592408188
burnie,-41.07,145.92,42.01,86,1.99,57,AU,1592407995
opuwo,-18.06,13.84,73.96,23,11.52,0,NA,1592408188
ulaanbaatar,47.91,106.88,60.8,51,2.24,40,MN,1592407996
fairbanks,64.84,-147.72,61.0,76,3.36,90,US,1592408134
ligayan,4.65,119.47,85.37,68,7.52,81,PH,1592408188
pevek,69.7,170.31,43.92,66,5.19,86,RU,1592408189
weatherford,32.76,-97.8,84.0,54,5.99,0,US,1592407932
ponnani,10.77,75.93,77.0,88,5.82,75,IN,1592408189
nishihara,26.18,127.76,82.4,94,12.75,20,JP,1592408189
tarut,26.57,50.04,105.8,11,16.11,0,SA,1592408189
chaman,30.92,66.45,86.61,12,8.39,0,PK,1592408189
emba,48.83,58.14,75.33,29,7.29,0,KZ,1592408189
aberystwyth,52.42,-4.08,62.01,96,1.99,100,GB,1592408189
vanavara,60.34,102.28,49.08,68,2.28,65,RU,1592407921
mujiayingzi,42.12,118.78,68.63,67,9.26,100,CN,1592408190
cayenne,4.93,-52.33,86.0,70,5.82,75,GF,1592407947
wajid,3.81,43.25,81.34,47,15.19,80,SO,1592408190
albania,41.0,20.0,75.2,64,2.24,40,AL,1592408190
warmbad,-28.45,18.73,60.76,34,11.45,0,NA,1592408190
plettenberg bay,-34.05,23.37,63.84,44,6.22,0,ZA,1592408190
zolotyy potik,48.91,25.34,75.2,60,11.18,75,UA,1592408190
teya,60.38,92.63,51.76,68,4.12,89,RU,1592408190
changping,40.22,116.22,81.0,47,11.18,93,CN,1592408191
roma,43.21,-75.46,79.0,50,3.36,1,US,1592407918
maceio,-9.67,-35.74,82.4,65,18.34,40,BR,1592408011
kamaishi,39.27,141.88,60.48,79,3.22,0,JP,1592408191
zhigalovo,54.81,105.16,46.87,64,1.72,27,RU,1592408191
tuy hoa,13.08,109.3,79.7,80,5.21,7,VN,1592408191
san ignacio,17.16,-89.07,80.6,83,4.7,75,BZ,1592408191
monopoli,40.96,17.29,81.0,50,8.05,20,IT,1592408192
taoudenni,22.68,-3.98,112.96,6,18.19,0,ML,1592408192
yenagoa,4.92,6.26,76.62,89,6.96,99,NG,1592408192
tezu,27.92,96.17,79.63,74,2.51,97,IN,1592408192
maumere,-8.62,122.21,79.32,72,3.76,100,ID,1592408192
kozyatyn,49.71,28.83,69.8,88,6.71,40,UA,1592408192
bandarbeyla,9.49,50.81,86.41,54,27.07,100,SO,1592408192
coihaique,-45.58,-72.07,37.4,93,3.36,90,CL,1592408193
roanoke rapids,36.46,-77.65,69.01,100,10.94,90,US,1592408122
cheney,47.49,-117.58,52.0,81,5.82,20,US,1592408194
constitucion,-35.33,-72.42,53.69,85,9.44,99,CL,1592407902
paamiut,61.99,-49.67,34.54,94,1.07,99,GL,1592408194
martapura,-3.42,114.85,76.6,88,3.13,78,ID,1592408194
novo aripuana,-5.12,-60.38,86.61,63,4.54,28,BR,1592408194
abu samrah,35.3,37.18,86.31,26,20.62,0,SY,1592408194
magadan,59.57,150.8,45.64,91,6.26,43,RU,1592408194
krasnovka,48.82,40.09,78.48,49,5.35,65,RU,1592408195
karpathos,35.51,27.21,77.0,69,14.99,20,GR,1592408195
saurimo,-9.66,20.39,80.6,30,6.93,0,AO,1592408196
shaowu,27.34,117.48,78.73,77,2.62,100,CN,1592408196
nabire,-3.37,135.48,76.46,84,3.18,100,ID,1592408196
portobelo,9.55,-79.65,88.0,79,8.05,40,PA,1592408196
iringa,-7.77,35.7,73.4,40,14.99,20,TZ,1592408196
